25/12/2023_21:32:24 - Environment Initialization (App Communication)
25/12/2023_21:32:24 - Socket listener started
25/12/2023_21:32:24 - Socket Conf |ip:127.0.0.1|port:8888
25/12/2023_21:32:31 - Client Connected
25/12/2023_21:32:35 - App Data |status:World Init|pathx:111|pathy:98|productsx:|productsy:|products:|map:Model3
25/12/2023_21:32:42 - App Data |status:Item Path|pathx:111&110&109&108&107&106&105&104&103&102&101&100&99&99|pathy:97&96&95&94&93&92&92&92&92&92&92&91&90&89|productsx:99&93&88&100|productsy:89&89&105&81|products:Squid&Sirloin steak&Swiss cheese&Shortbread|map:
25/12/2023_21:32:42 - Previous products removed
25/12/2023_21:32:42 - Current products instantiated
25/12/2023_21:32:42 - Current products instantiated
25/12/2023_21:32:42 - Current products instantiated
25/12/2023_21:32:42 - Current products instantiated
25/12/2023_21:32:49 - App Data |status:Resume|pathx:111&111&110&109&108&107&106&105&104&103&102&101&100&99&99|pathy:98&97&96&95&94&93&92&92&92&92&92&92&91&90&89|productsx:|productsy:|products:|map:
25/12/2023_21:33:24 - App Data |status:Next Item|pathx:99&98&97&96&95&94&93&92&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&91&92&93&94&94|pathy:90&90&90&90&90&90&91&92&93&94&95&96&97&98&99&100&101&102&103&104&105&106&107&108&109&110&111&112&113&114&114&114&113|productsx:|productsy:|products:|map:
25/12/2023_21:34:02 - App Data |status:Next Item|pathx:94&95&96&97&98&99&100&101&102&103&104&105&106&107&107&107&108&109&110&111|pathy:114&114&114&114&114&114&114&114&114&114&114&114&114&113&112&111&110&109&108&108|productsx:|productsy:|products:|map:
25/12/2023_21:34:30 - App Data |status:Next Item|pathx:110&109&108&107&106&105&104&103&102&101&100&100|pathy:108&107&106&105&104&104&104&104&104&104&104&105|productsx:|productsy:|products:|map:
