26/12/2023_09:58:54 - Environment Initialization (App Communication)
26/12/2023_09:58:54 - Socket listener started
26/12/2023_09:58:54 - Socket Conf |ip:127.0.0.1|port:8888
26/12/2023_09:59:09 - Client Connected
26/12/2023_09:59:11 - App Data |mode:A|status:World Init|pathx:111|pathy:98|productsx:|productsy:|products:|map:Model3
26/12/2023_09:59:27 - App Data |mode:A|status:Item Path|pathx:111&110&109&108&107&106&105&104&103&103|pathy:97&98&99&100&101&102&102&103&104&105|productsx:103&88&103&104|productsy:105&97&89&89|products:Sugar cookies&Swiss cheese&Salmon fillets&Squid|map:
26/12/2023_09:59:27 - Previous products removed
26/12/2023_09:59:27 - Current products instantiated
26/12/2023_09:59:27 - Current products instantiated
26/12/2023_09:59:27 - Current products instantiated
26/12/2023_09:59:27 - Current products instantiated
26/12/2023_09:59:34 - App Data |mode:A|status:Resume|pathx:111&110&109&108&107&106&105&104&103&103|pathy:98&98&99&100&101&102&102&103&104&105|productsx:|productsy:|products:|map:
26/12/2023_10:00:17 - App Data |mode:A|status:Next Item|pathx:103&102&101&100&99&98&97&96&95&94&93&92&91&91&91&90&89&88|pathy:104&104&104&104&104&104&104&103&102&102&102&102&101&100&99&98&97&97|productsx:|productsy:|products:|map:
26/12/2023_10:00:47 - App Data |mode:A|status:Next Item|pathx:89&89&89&90&91&92&93&94&95&96&97&98&99&100&101&102&103&103|pathy:97&96&95&94&93&92&92&92&92&92&92&92&92&92&92&91&90&89|productsx:|productsy:|products:|map:
26/12/2023_10:01:23 - App Data |mode:A|status:Next Item|pathx:103&104&104|pathy:90&90&89|productsx:|productsy:|products:|map:
26/12/2023_10:01:35 - App Data |mode:A|status:Destination|pathx:104&105&106&107&108&109&110&111|pathy:90&90&90&90&90&90&90&91|productsx:|productsy:|products:|map:
26/12/2023_10:02:04 - App Data |mode:A|status:FollowMe|pathx:|pathy:|productsx:|productsy:|products:|map:
26/12/2023_10:02:04 - Error JSON
26/12/2023_10:02:05 - App Data |mode:A|status:FollowMe|pathx:109|pathy:89|productsx:|productsy:|products:|map:
26/12/2023_10:02:06 - App Data |mode:A|status:FollowMe|pathx:110&109&108|pathy:89&88&87|productsx:|productsy:|products:|map:
26/12/2023_10:02:07 - App Data |mode:A|status:FollowMe|pathx:110&109&108&107|pathy:89&88&87&86|productsx:|productsy:|products:|map:
26/12/2023_10:02:08 - App Data |mode:A|status:FollowMe|pathx:110&109&108&107|pathy:89&88&87&86|productsx:|productsy:|products:|map:
26/12/2023_10:02:09 - App Data |mode:A|status:FollowMe|pathx:110&109&108&107|pathy:89&88&87&86|productsx:|productsy:|products:|map:
26/12/2023_10:02:10 - App Data |mode:A|status:FollowMe|pathx:109&108&107|pathy:88&87&86|productsx:|productsy:|products:|map:
26/12/2023_10:02:11 - App Data |mode:A|status:FollowMe|pathx:108&107|pathy:87&86|productsx:|productsy:|products:|map:
26/12/2023_10:02:12 - App Data |mode:A|status:FollowMe|pathx:108&108|pathy:86&85|productsx:|productsy:|products:|map:
26/12/2023_10:02:13 - App Data |mode:A|status:FollowMe|pathx:107&107|pathy:85&84|productsx:|productsy:|products:|map:
26/12/2023_10:02:14 - App Data |mode:A|status:FollowMe|pathx:108&107|pathy:85&84|productsx:|productsy:|products:|map:
26/12/2023_10:02:15 - App Data |mode:A|status:FollowMe|pathx:107&108|pathy:85&84|productsx:|productsy:|products:|map:
26/12/2023_10:02:16 - App Data |mode:A|status:FollowMe|pathx:|pathy:|productsx:|productsy:|products:|map:
26/12/2023_10:02:16 - Error JSON
26/12/2023_10:02:17 - App Data |mode:A|status:FollowMe|pathx:109|pathy:89|productsx:|productsy:|products:|map:
26/12/2023_10:02:18 - App Data |mode:A|status:FollowMe|pathx:108&108|pathy:91&92|productsx:|productsy:|products:|map:
26/12/2023_10:02:19 - App Data |mode:A|status:FollowMe|pathx:109&109&109|pathy:92&93&94|productsx:|productsy:|products:|map:
26/12/2023_10:02:20 - App Data |mode:A|status:FollowMe|pathx:109&109&109&108|pathy:92&93&94&95|productsx:|productsy:|products:|map:
26/12/2023_10:02:21 - App Data |mode:A|status:FollowMe|pathx:109&109&109&109&108&107|pathy:92&93&94&95&96&97|productsx:|productsy:|products:|map:
26/12/2023_10:02:22 - App Data |mode:A|status:FollowMe|pathx:109&109&109&109&108&107|pathy:92&93&94&95&96&97|productsx:|productsy:|products:|map:
